Volcano Number,Volcano Name,Country,Emission ID,Method,Start Date,End Date,Total SO2 Mass (kt),SO2 Altitude Range Start
252070,Krummel-Garbuna-Welcker,Papua New Guinea,90,Satellite,2007 Nov 11,2007 Nov 11,1.000,3.0
273010,Bulusan,Philippines,161,Satellite,2007 May 12,2007 May 12,1.000,6.0
211060,Etna,Italy,12,Satellite,2007 Mar 29,2007 Apr 11,10.500,5.0
342090,Fuego,Guatemala,278,Satellite,2007 Mar 15,2007 Mar 15,2.000,6.0
290360,Chikurachki,Russia,178,Satellite,2007 Mar 04,2007 Mar 04,30.000,5.0
273010,Bulusan,Philippines,162,Satellite,2007 Jul 31,2007 Jul 31,1.000,7.0
268040,Gamkonora,Indonesia,154,Satellite,2007 Jul 09,2007 Jul 09,1.000,6.0
342090,Fuego,Guatemala,279,Satellite,2007 Jul 01,2007 Jul 01,2.000,4.0
233010,Karthala,Comoros,60,Satellite,2007 Jan 12,2007 Jan 12,0.600,7.4
360050,Soufriere Hills,United Kingdom,344,Satellite,2007 Jan 08,2007 Jan 08,1.000,9.0
342090,Fuego,Guatemala,280,Satellite,2007 Dec 15,2007 Dec 15,2.000,5.0
290360,Chikurachki,Russia,179,Satellite,2007 Aug 19,2007 Aug 19,20.000,5.0
266030,Soputan,Indonesia,141,Satellite,2007 Aug 14,2007 Aug 14,5.000,3.0
221115,Manda Hararo,Ethiopia,35,Satellite,2007 Aug 12,2007 Aug 12,26.000,5.6
300260,Klyuchevskoy,Russia,203,Satellite,2007 Apr 30,2007 Jul 15,176.000,6.0
211060,Etna,Italy,13,Satellite,2007 Apr 29,2007 May 07,6.000,6.0
257050,Lopevi,Vanuatu,108,Satellite,2007 Apr 20,2007 Apr 20,12.000,5.0
273010,Bulusan,Philippines,160,Satellite,2007 Apr 08,2007 Apr 08,0.500,4.0
233020,"Fournaise, Piton de la",France,66,Satellite,2007 Apr 03,2007 Apr 03,300.000,11.0
312260,Fourpeaked,United States,224,Satellite,2006 Sep 17,2006 Sep 17,1.000,6.0
252140,Rabaul,Papua New Guinea,97,Satellite,2006 Oct 07,2006 Oct 07,300.000,18.0
223020,Nyamulagira,DR Congo,51,Satellite,2006 Nov 27,2006 Nov 27,675.000,15.0
211060,Etna,Italy,11,Satellite,2006 Nov 16,2006 Nov 21,9.300,4.0
233010,Karthala,Comoros,59,Satellite,2006 May 28,2006 May 28,10.000,7.4
311240,Cleveland,United States,212,Satellite,2006 May 23,2006 May 23,0.130,8.0
360050,Soufriere Hills,United Kingdom,343,Satellite,2006 May 20,2006 May 20,200.000,20.0
300250,Bezymianny,Russia,196,Satellite,2006 May 09,2006 May 09,5.000,15.0
273010,Bulusan,Philippines,159,Satellite,2006 Mar 21,2006 Mar 21,1.000,7.0
263250,Merapi,Indonesia,117,Satellite,2006 Jun 15,2006 Jun 15,10.000,5.0
352080,Tungurahua,Ecuador,305,Satellite,2006 Jul 15,2006 Jul 15,10.000,12.0
313010,Augustine,United States,226,Satellite,2006 Jan 29,2006 Jan 29,10.000,10.0
251020,Manam,Papua New Guinea,86,Satellite,2006 Feb 27,2006 Feb 27,50.000,19.0
256010,Tinakula,Solomon Islands,99,Satellite,2006 Feb 12,2006 Feb 12,2.000,3.0
266030,Soputan,Indonesia,140,Satellite,2006 Dec 14,2006 Dec 14,10.000,12.0
233020,"Fournaise, Piton de la",France,65,Satellite,2006 Aug 31,2006 Aug 31,1.000,7.6
352080,Tungurahua,Ecuador,306,Satellite,2006 Aug 16,2006 Aug 16,30.000,16.0
243080,Home Reef,Tonga,79,Satellite,2006 Aug 08,2006 Aug 08,25.000,10.0
355100,Lascar,Chile,322,Satellite,2006 Apr 18,2006 Apr 18,2.000,8.0
260010,Barren Island,India,109,Satellite,2006 Apr 05,2006 Apr 05,0.200,5.0
353050,"Negra, Sierra",Ecuador,315,Satellite,2005 Oct 23,2005 Oct 23,1928.000,15.0
343020,Santa Ana,El Salvador,288,Satellite,2005 Oct 01,2005 Oct 01,12.000,14.0
233010,Karthala,Comoros,58,Satellite,2005 Nov 24,2005 Nov 24,20.000,12.0
353010,Fernandina,Ecuador,310,Satellite,2005 May 13,2005 May 13,150.000,9.0
355100,Lascar,Chile,321,Satellite,2005 May 04,2005 May 04,3.000,10.0
290360,Chikurachki,Russia,177,Satellite,2005 Mar 12,2005 Mar 12,5.000,5.0
360050,Soufriere Hills,United Kingdom,342,Satellite,2005 Jun 28,2005 Jul 18,8.000,7.0
251020,Manam,Papua New Guinea,85,Satellite,2005 Jan 28,2005 Jan 28,140.000,24.0
233020,"Fournaise, Piton de la",France,63,Satellite,2005 Feb 26,2005 Feb 26,10.000,7.6
233020,"Fournaise, Piton de la",France,64,Satellite,2005 Dec 27,2005 Dec 27,15.000,7.6
266030,Soputan,Indonesia,139,Satellite,2005 Dec 27,2005 Dec 27,5.000,6.0
342090,Fuego,Guatemala,277,Satellite,2005 Dec 27,2005 Dec 27,1.000,8.0
266030,Soputan,Indonesia,138,Satellite,2005 Apr 20,2005 Apr 20,1.500,3.0
233010,Karthala,Comoros,57,Satellite,2005 Apr 17,2005 Apr 17,10.000,7.4
261160,Talang,Indonesia,111,Satellite,2005 Apr 12,2005 Apr 12,1.000,8.0
284200,Anatahan,United States,174,Satellite,2005 Apr 05,2005 Sep 03,2324.200,3.0
257050,Lopevi,Vanuatu,107,Satellite,2004 Sep 28,2004 Sep 28,22.000,11.4
283110,Asamayama,Japan,169,Satellite,2004 Sep 01,2004 Sep 15,101.000,5.0
251020,Manam,Papua New Guinea,83,Satellite,2004 Oct 24,2004 Nov 27,152.000,6.0
266030,Soputan,Indonesia,136,Satellite,2004 Oct 18,2004 Oct 18,10.000,11.8
233020,"Fournaise, Piton de la",France,62,Satellite,2004 Oct 02,2004 Oct 02,0.500,7.6
373010,Grimsvotn,Iceland,357,Satellite,2004 Nov 02,2004 Nov 02,30.000,12.0
300270,Sheveluch,Russia,206,Satellite,2004 May 10,2004 May 10,1.000,11.0
223020,Nyamulagira,DR Congo,50,Satellite,2004 May 08,2004 May 08,2587.000,4.0
360050,Soufriere Hills,United Kingdom,341,Satellite,2004 Mar 03,2004 Mar 03,5.000,7.0
300250,Bezymianny,Russia,195,Satellite,2004 Jun 19,2004 Jun 19,1.000,10.0
263310,Tengger Caldera,Indonesia,121,Satellite,2004 Jun 09,2004 Jun 09,31.000,12.3
300250,Bezymianny,Russia,194,Satellite,2004 Jan 14,2004 Jan 14,1.000,6.0
251020,Manam,Papua New Guinea,84,Satellite,2004 Dec 20,2004 Dec 20,38.000,17.0
266030,Soputan,Indonesia,137,Satellite,2004 Dec 13,2004 Dec 13,15.000,11.0
351080,Galeras,Colombia,299,Satellite,2004 Aug 12,2004 Aug 12,3.000,11.0
266030,Soputan,Indonesia,135,Satellite,2003 Sep 01,2003 Sep 01,16.000,11.8
284200,Anatahan,United States,173,Satellite,2003 May 11,2003 Jun 13,494.000,5.0
352080,Tungurahua,Ecuador,304,Satellite,2003 Mar 08,2003 Mar 08,12.000,15.0
257050,Lopevi,Vanuatu,106,Satellite,2003 Jun 09,2003 Jun 09,50.000,12.0
268060,Gamalama,Indonesia,155,Satellite,2003 Jul 31,2003 Jul 31,5.000,11.7
300250,Bezymianny,Russia,193,Satellite,2003 Jul 26,2003 Jul 26,2.000,11.0
